Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,region
800,Metal Gear Solid: Peace Walker,PSP,2010.0,Action,Konami Digital Entertainment,0.46,0.42,0.96,0.25,2.09,JP
801,World of Warcraft: Cataclysm,PC,2010.0,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08,NA
802,Tetris Worlds,PS2,2002.0,Puzzle,THQ,1.11,0.71,0.0,0.27,2.08,NA
803,Need For Speed: Undercover,PS3,2008.0,Racing,Electronic Arts,0.63,1.02,0.05,0.39,2.08,EU
804,Dance Dance Revolution: Hottest Party,Wii,2007.0,Simulation,Konami Digital Entertainment,1.36,0.52,0.0,0.2,2.08,NA
805,Mario Party 5,GC,2003.0,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08,NA
806,Ghostbusters: The Video Game (DS Version),PS3,2010.0,Action,Take-Two Interactive,0.59,0.99,0.13,0.36,2.08,EU
807,Sim Theme Park,PC,1998.0,Strategy,Electronic Arts,2.04,0.04,0.0,0.0,2.08,NA
808,Warcraft: Orcs & Humans,PC,1994.0,Strategy,Activision,0.89,1.08,0.0,0.11,2.08,EU
809,Skate 3,PS3,2010.0,Sports,Electronic Arts,0.79,0.94,0.0,0.35,2.08,EU
810,Spec Ops: Airborne Commando,PS,2002.0,Shooter,Take-Two Interactive,1.54,0.46,0.0,0.08,2.07,NA
811,Kingdom Hearts: Birth by Sleep,PSP,2010.0,Role-Playing,Square Enix,0.63,0.42,0.75,0.26,2.07,JP
812,UFC 2009 Undisputed,X360,2009.0,Fighting,THQ,1.48,0.39,0.0,0.19,2.07,NA
813,Dark Souls,PS3,2011.0,Role-Playing,Namco Bandai Games,0.75,0.54,0.54,0.23,2.07,NA
814,Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001.0,Strategy,Konami Digital Entertainment,1.64,0.36,0.0,0.07,2.07,NA
815,Need for Speed: ProStreet,X360,2007.0,Racing,Electronic Arts,1.04,0.8,0.01,0.22,2.06,NA
816,The Sims 3,PS3,2010.0,Simulation,Electronic Arts,0.73,0.97,0.02,0.34,2.06,EU
817,Tom Clancy's Splinter Cell: Conviction,X360,2010.0,Action,Ubisoft,1.2,0.63,0.04,0.19,2.06,NA
818,Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005.0,Role-Playing,Nintendo,0.71,0.52,0.74,0.08,2.06,JP
819,The Incredibles,GBA,2004.0,Action,THQ,1.15,0.77,0.04,0.1,2.06,NA
820,R4: Ridge Racer Type 4,PS,1998.0,Racing,Namco Bandai Games,0.68,0.46,0.79,0.13,2.06,JP
821,SoulCalibur II,PS2,2003.0,Fighting,Namco Bandai Games,1.06,0.62,0.13,0.25,2.06,NA
822,Mario & Luigi: Dream Team,3DS,2013.0,Role-Playing,Nintendo,0.89,0.57,0.46,0.13,2.06,NA
823,Need for Speed: ProStreet,PS3,2007.0,Racing,Electronic Arts,0.73,0.92,0.04,0.37,2.05,EU
824,Carnival Games,DS,2008.0,Misc,Take-Two Interactive,1.23,0.64,0.0,0.19,2.05,NA
825,NBA 2K14,PS3,2013.0,Sports,Take-Two Interactive,1.43,0.33,0.04,0.25,2.05,NA
826,Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005.0,Role-Playing,Nintendo,1.16,0.06,0.83,0.0,2.05,NA
827,Sonic Mega Collection,GC,2002.0,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05,NA
828,Diablo III,PS3,2013.0,Role-Playing,Activision,0.71,0.83,0.15,0.35,2.05,EU
829,NBA Jam,GEN,1992.0,Sports,Arena Entertainment,1.75,0.25,0.0,0.05,2.05,NA
830,PGR4 - Project Gotham Racing 4,X360,2007.0,Racing,Microsoft Game Studios,0.48,1.29,0.02,0.25,2.05,EU
831,Kingdom Hearts 358/2 Days,DS,2009.0,Role-Playing,Square Enix,1.11,0.27,0.53,0.14,2.04,NA
832,Dance Central 2,X360,2011.0,Misc,Microsoft Game Studios,1.45,0.42,0.01,0.16,2.04,NA
833,Rayman Raving Rabbids: TV Party,Wii,2008.0,Misc,Ubisoft,0.73,1.09,0.0,0.23,2.04,EU
834,SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006.0,Shooter,Sony Computer Entertainment,1.74,0.02,0.0,0.28,2.04,NA
835,Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005.0,Action,Ubisoft,0.71,1.02,0.0,0.31,2.04,EU
836,Donkey Kong Country,GBA,2003.0,Platform,Nintendo,1.2,0.48,0.29,0.07,2.04,NA
837,Need for Speed: The Run,PS3,2011.0,Action,Electronic Arts,0.58,1.06,0.03,0.37,2.04,EU
838,Madden NFL 15,PS4,2014.0,Sports,Electronic Arts,1.53,0.25,0.0,0.25,2.03,NA
839,1080°: TenEighty Snowboarding,N64,1998.0,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03,NA
840,Just Dance 3,X360,2011.0,Misc,Ubisoft,1.47,0.4,0.0,0.16,2.03,NA
841,NBA Live 2004,PS2,2003.0,Sports,Electronic Arts,1.57,0.18,0.0,0.27,2.03,NA
842,Dead Space,PS3,2008.0,Action,Electronic Arts,1.05,0.67,0.0,0.3,2.02,NA
843,Call of Duty 2,X360,2005.0,Shooter,Activision,1.81,0.05,0.01,0.15,2.02,NA
844,Madden NFL 15,X360,2014.0,Sports,Electronic Arts,1.76,0.09,0.0,0.17,2.02,NA
845,Forza Horizon,X360,2012.0,Racing,Microsoft Game Studios,0.82,0.98,0.04,0.18,2.02,EU
846,TouchMaster,DS,2007.0,Puzzle,Midway Games,0.49,1.27,0.0,0.25,2.01,EU
847,Tom Clancy's The Division,XOne,2016.0,Shooter,Ubisoft,1.2,0.62,0.0,0.18,2.01,NA
848,LEGO Marvel Super Heroes,PS3,2013.0,Action,Warner Bros. Interactive Entertainment,0.77,0.85,0.01,0.37,2.0,EU
849,Fire Emblem: Awakening,3DS,2012.0,Role-Playing,Nintendo,0.89,0.45,0.53,0.13,2.0,NA
850,DriveClub,PS4,2014.0,Racing,Sony Computer Entertainment,0.35,1.31,0.02,0.33,2.0,EU
851,Super Street Fighter II,SNES,1993.0,Fighting,Nintendo,0.52,0.16,1.29,0.03,2.0,JP
852,Mortal Kombat vs. DC Universe,PS3,2008.0,Fighting,Midway Games,1.48,0.3,0.0,0.22,2.0,NA
853,Tenchu: Stealth Assassins,PS,1997.0,Action,Activision,0.95,0.64,0.27,0.13,1.99,NA
854,Tennis,GB,1989.0,Sports,Nintendo,0.75,0.3,0.9,0.04,1.99,JP
855,Harry Potter and the Chamber of Secrets,GBA,2002.0,Action,Electronic Arts,1.21,0.64,0.05,0.09,1.99,NA
856,Harry Potter and the Chamber of Secrets,PS,2002.0,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98,EU
857,SimCity,SNES,1991.0,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98,NA
858,Battlefield 4,XOne,2013.0,Shooter,Electronic Arts,1.25,0.58,0.0,0.16,1.98,NA
859,Resident Evil 6,X360,2012.0,Shooter,Capcom,1.11,0.63,0.07,0.16,1.98,NA
860,Dragon Age: Inquisition,PS4,2014.0,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32,1.97,EU
861,Sonic Classic Collection,DS,2010.0,Platform,Sega,0.99,0.8,0.0,0.18,1.97,NA
862,Spyro: Enter the Dragonfly,PS2,2002.0,Platform,Universal Interactive,0.74,0.95,0.0,0.28,1.97,EU
863,Call of Duty: World at War,Wii,2008.0,Shooter,Activision,1.2,0.59,0.0,0.19,1.97,NA
864,Devil May Cry 2,PS2,2003.0,Action,Capcom,0.71,0.58,0.51,0.17,1.97,NA
865,Burnout Paradise,PS3,2008.0,Racing,Electronic Arts,1.01,0.64,0.02,0.3,1.97,NA
866,E.T.: The Extra Terrestrial,2600,1981.0,Action,Atari,1.84,0.11,0.0,0.02,1.97,NA
867,BioShock Infinite,X360,2013.0,Shooter,Take-Two Interactive,1.22,0.57,0.02,0.15,1.96,NA
868,Hot Shots Golf: Open Tee,PSP,2004.0,Sports,Sony Computer Entertainment,0.5,0.5,0.63,0.33,1.96,JP
869,Rad Racer,NES,1986.0,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96,NA
870,Soccer,NES,1985.0,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96,JP
871,Kirby Squeak Squad,DS,2006.0,Platform,Nintendo,0.79,0.03,1.05,0.08,1.96,JP
872,Tom Clancy's Rainbow Six: Vegas,X360,2006.0,Shooter,Ubisoft,1.09,0.65,0.02,0.2,1.96,NA
873,Destiny,X360,2014.0,Shooter,Activision,1.3,0.49,0.0,0.16,1.95,NA
874,Crash Nitro Kart,PS2,2003.0,Racing,Vivendi Games,0.74,1.01,0.0,0.2,1.95,EU
875,Grand Theft Auto: San Andreas,XB,2005.0,Action,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95,NA
876,Star Wars: Dark Forces,PC,1994.0,Shooter,LucasArts,1.09,0.77,0.0,0.09,1.95,NA
877,NBA Street Vol. 2,PS2,2003.0,Sports,Electronic Arts,1.69,0.2,0.0,0.06,1.95,NA
878,Def Jam Vendetta,PS2,2003.0,Fighting,Electronic Arts,0.95,0.74,0.0,0.25,1.94,NA
879,FIFA Soccer 09,X360,2008.0,Sports,Electronic Arts,0.49,1.26,0.01,0.18,1.94,EU
880,Who wants to be a millionaire,PC,1999.0,Misc,Disney Interactive Studios,1.94,0.0,0.0,0.0,1.94,NA
881,Scooby Doo and the Cyber Chase,PS,2001.0,Adventure,THQ,0.59,1.23,0.0,0.13,1.94,EU
882,Alleyway,GB,1989.0,Puzzle,Nintendo,0.96,0.38,0.55,0.05,1.94,NA
883,Dragon Ball Z: Budokai 3,PS2,2004.0,Fighting,Atari,1.09,0.15,0.65,0.04,1.94,NA
884,Jet Moto 2,PS,1997.0,Racing,Sony Computer Entertainment,1.41,0.42,0.03,0.07,1.94,NA
885,Tom Clancy's Ghost Recon,PS2,2002.0,Shooter,Ubisoft,1.42,0.4,0.0,0.12,1.94,NA
886,X-Men Legends,PS2,2004.0,Role-Playing,Activision,1.0,0.72,0.0,0.21,1.93,NA
887,Batman: Arkham Origins,X360,2013.0,Action,Warner Bros. Interactive Entertainment,1.15,0.61,0.0,0.17,1.93,NA
888,Guitar Hero: World Tour,PS3,2008.0,Misc,Activision,1.1,0.56,0.0,0.27,1.93,NA
889,Mortal Kombat II,SNES,1993.0,Fighting,Acclaim Entertainment,1.48,0.39,0.0,0.06,1.93,NA
890,Virtua Fighter 2,SAT,1995.0,Fighting,Sega,0.34,0.26,1.3,0.03,1.93,JP
891,Tetris DX,GB,1998.0,Puzzle,Nintendo,1.06,0.6,0.2,0.07,1.93,NA
892,Mortal Kombat vs. DC Universe,X360,2008.0,Fighting,Midway Games,1.53,0.24,0.0,0.16,1.93,NA
893,Watch Dogs,PS3,2014.0,Action,Ubisoft,0.56,0.89,0.1,0.37,1.93,EU
894,Mario Super Sluggers,Wii,2008.0,Sports,Nintendo,1.51,0.0,0.29,0.12,1.93,NA
895,Tomb Raider (2013),X360,2013.0,Action,Square Enix,0.86,0.87,0.01,0.17,1.92,EU
896,The Legend of Zelda: Oracle of Ages,GB,2001.0,Action,Nintendo,0.92,0.53,0.41,0.06,1.92,NA
897,Need for Speed: Shift,X360,2009.0,Racing,Electronic Arts,0.73,0.97,0.01,0.22,1.92,EU
898,Monopoly,Wii,2008.0,Misc,Electronic Arts,0.87,0.85,0.0,0.2,1.92,NA
899,Red Faction,PS2,2001.0,Shooter,THQ,0.76,0.96,0.0,0.2,1.92,EU
900,The Sims: Makin' Magic,PC,2003.0,Simulation,Electronic Arts,1.03,0.8,0.0,0.09,1.92,NA
901,MX Unleashed,PS2,2004.0,Racing,THQ,0.94,0.73,0.0,0.25,1.92,NA
902,PaRappa The Rapper,PS,1996.0,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92,JP
903,Toy Story Mania!,Wii,2009.0,Misc,Disney Interactive Studios,1.06,0.67,0.0,0.18,1.92,NA
904,Mario Party 3,N64,2000.0,Misc,Nintendo,0.72,0.16,1.01,0.02,1.91,JP
905,Star Wars: The Force Unleashed,Wii,2008.0,Action,LucasArts,1.14,0.57,0.0,0.19,1.91,NA
906,Game Party 2,Wii,2008.0,Misc,Midway Games,1.3,0.44,0.0,0.17,1.91,NA
907,Destiny: The Taken King,PS4,2015.0,Shooter,Activision,0.77,0.78,0.04,0.31,1.91,EU
908,LEGO Star Wars III: The Clone Wars,Wii,2011.0,Action,LucasArts,1.08,0.66,0.0,0.17,1.91,NA
909,Star Wars Rogue Leader: Rogue Squadron II,GC,2001.0,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9,NA
910,Max Payne 3,PS3,2012.0,Shooter,Take-Two Interactive,0.59,0.92,0.06,0.32,1.9,EU
911,Need for Speed Rivals,PS4,2013.0,Racing,Electronic Arts,0.73,0.91,0.03,0.22,1.89,EU
912,Madden NFL 09,PS3,2008.0,Sports,Electronic Arts,1.56,0.15,0.0,0.18,1.89,NA
913,Yokai Watch,3DS,2013.0,Role-Playing,Nintendo,0.21,0.3,1.33,0.04,1.89,JP
914,Ratchet & Clank Future: A Crack in Time,PS3,2009.0,Platform,Sony Computer Entertainment,1.05,0.54,0.03,0.26,1.88,NA
915,Yu-Gi-Oh! Forbidden Memories,PS,1999.0,Role-Playing,Konami Digital Entertainment,1.37,0.44,0.0,0.08,1.88,NA
916,Mortal Kombat: Deception,PS2,2004.0,Fighting,Midway Games,0.92,0.72,0.0,0.24,1.88,NA
917,Hot Shots Golf 2,PS,1999.0,Sports,Sony Computer Entertainment,0.25,0.12,1.48,0.03,1.88,JP
918,Medal of Honor: European Assault (All Region sales),PS2,2005.0,Shooter,Electronic Arts,0.89,0.69,0.09,0.21,1.88,NA
919,WCW Nitro,PS,1998.0,Fighting,THQ,1.42,0.36,0.03,0.07,1.88,NA
920,High School Musical: Sing It!,PS2,2007.0,Misc,Disney Interactive Studios,0.47,0.08,0.0,1.33,1.87,OTHER
921,Star Fox Adventures,GC,2002.0,Adventure,Nintendo,0.96,0.53,0.3,0.09,1.87,NA
922,FIFA 2000,PS,1998.0,Sports,Electronic Arts,0.22,1.47,0.04,0.14,1.87,EU
923,Dynasty Warriors 3,PS2,2001.0,Action,THQ,0.53,0.16,1.07,0.1,1.87,JP
924,Donkey Kong Country Returns,3DS,2013.0,Platform,Nintendo,0.73,0.62,0.4,0.12,1.87,NA
925,The Legend of Zelda: Oracle of Seasons,GB,2001.0,Adventure,Nintendo,0.87,0.52,0.41,0.06,1.86,NA
926,Madden NFL 06,XB,2005.0,Sports,Electronic Arts,1.75,0.03,0.0,0.08,1.86,NA
927,Shrek 2,PS2,2004.0,Platform,Activision,1.12,0.69,0.03,0.02,1.86,NA
928,The Legend of Dragoon,PS,1999.0,Role-Playing,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86,NA
929,Turok 2: Seeds of Evil,N64,1997.0,Platform,Acclaim Entertainment,1.37,0.41,0.04,0.04,1.86,NA
930,SingStar,PS2,2004.0,Misc,Sony Computer Entertainment,0.0,1.37,0.0,0.49,1.86,EU
931,LittleBigPlanet 3,PS4,2014.0,Platform,Sony Computer Entertainment,0.64,0.92,0.01,0.29,1.86,EU
932,NBA Live 2002,PS2,2001.0,Sports,Electronic Arts,0.91,0.71,0.0,0.24,1.86,NA
933,Phineas and Ferb,DS,2009.0,Action,Disney Interactive Studios,1.34,0.37,0.0,0.15,1.86,NA
934,Chrono Cross,PS,1999.0,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86,JP
935,GoldenEye 007 (2010),Wii,2010.0,Action,Activision,0.85,0.71,0.13,0.16,1.86,NA
936,Mario Party: Island Tour,3DS,2013.0,Misc,Nintendo,0.61,0.59,0.55,0.11,1.85,NA
937,Jak 3,PS2,2004.0,Platform,Sony Computer Entertainment,1.33,0.49,0.0,0.03,1.85,NA
938,Rayman Raving Rabbids 2,Wii,2007.0,Misc,Ubisoft,0.83,0.82,0.0,0.2,1.85,NA
939,Kingdom Hearts: Chain of Memories,GBA,2004.0,Role-Playing,Square Enix,1.26,0.18,0.35,0.06,1.85,NA
940,Pinball,NES,1984.0,Action,Nintendo,0.8,0.19,0.83,0.03,1.85,JP
941,inFAMOUS 2,PS3,2011.0,Action,Sony Computer Entertainment,1.05,0.49,0.08,0.23,1.85,NA
942,Gran Turismo Concept 2001 Tokyo,PS2,2001.0,Racing,Unknown,0.0,1.1,0.42,0.33,1.84,EU
943,Demon's Souls,PS3,2009.0,Role-Playing,Namco Bandai Games,0.97,0.34,0.35,0.18,1.84,NA
944,NCAA Football 06,PS2,2005.0,Sports,Electronic Arts,1.53,0.05,0.0,0.25,1.84,NA
945,"Hey You, Pikachu!",N64,1998.0,Simulation,Nintendo,0.83,0.06,0.93,0.0,1.83,JP
946,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005.0,Misc,THQ,1.31,0.49,0.0,0.03,1.83,NA
947,World of Warcraft: Mists of Pandaria,PC,2012.0,Role-Playing,Activision,0.84,0.76,0.0,0.23,1.83,NA
948,Jet Moto,PS,1996.0,Racing,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83,NA
949,Just Cause 3,PS4,2015.0,Action,Square Enix,0.46,1.02,0.07,0.28,1.83,EU
950,Secret of Mana,SNES,1993.0,Role-Playing,SquareSoft,0.25,0.07,1.49,0.02,1.83,JP
951,The Orange Box,X360,2007.0,Shooter,Electronic Arts,1.09,0.54,0.02,0.17,1.83,NA
952,Air Combat,PS,1995.0,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83,NA
953,Kirby: Triple Deluxe,3DS,2014.0,Platform,Nintendo,0.61,0.34,0.79,0.09,1.82,JP
954,Sonic & Knuckles,GEN,1994.0,Platform,Sega,1.24,0.43,0.03,0.12,1.82,NA
955,Namco Museum,PS2,2001.0,Misc,Namco Bandai Games,1.73,0.07,0.0,0.02,1.82,NA
956,The Sims: Hot Date,PC,2001.0,Simulation,Electronic Arts,1.81,0.0,0.0,0.0,1.82,NA
957,Metroid Prime 3: Corruption,Wii,2007.0,Shooter,Nintendo,0.91,0.74,0.07,0.09,1.82,NA
958,Dragon Quest VI: Realms of Revelation,DS,2010.0,Role-Playing,Nintendo,0.22,0.21,1.35,0.03,1.81,JP
959,The Evil Within,PS4,2014.0,Action,Bethesda Softworks,0.55,0.84,0.11,0.31,1.81,EU
960,DDRMAX2: Dance Dance Revolution,PS2,2003.0,Simulation,Konami Digital Entertainment,1.05,0.59,0.0,0.18,1.81,NA
961,Crazy Taxi,DC,2000.0,Racing,Sega,1.1,0.51,0.12,0.08,1.81,NA
962,Virtua Fighter 4,PS2,2002.0,Fighting,Sega,0.78,0.44,0.56,0.04,1.81,NA
963,Sly 2: Band of Thieves,PS2,2004.0,Platform,Sony Computer Entertainment,0.88,0.69,0.0,0.23,1.81,NA
964,Guitar Hero: World Tour,PS2,2008.0,Misc,Activision,1.0,0.03,0.0,0.77,1.8,NA
965,Sonic Advance 2,GBA,2002.0,Platform,Sega,0.93,0.59,0.21,0.07,1.8,NA
966,Madden NFL 07,X360,2006.0,Sports,Electronic Arts,1.66,0.0,0.01,0.13,1.8,NA
967,NBA 2K11,PS3,2010.0,Action,Take-Two Interactive,1.41,0.21,0.03,0.16,1.8,NA
968,NFL GameDay 2000,PS,1999.0,Sports,989 Studios,1.0,0.68,0.0,0.12,1.8,NA
969,Call of Duty: Black Ops 3,PS3,2015.0,Shooter,Activision,0.49,0.96,0.07,0.27,1.79,EU
970,Disney's The Lion King,SNES,1994.0,Platform,Virgin Interactive,1.26,0.39,0.08,0.06,1.79,NA
971,Beyond: Two Souls,PS3,2013.0,Adventure,Sony Computer Entertainment,0.52,0.88,0.06,0.34,1.79,EU
972,Kinect Star Wars,X360,2012.0,Action,Microsoft Game Studios,1.05,0.57,0.03,0.14,1.78,NA
973,Midnight Club II,PS2,2003.0,Racing,Take-Two Interactive,1.25,0.29,0.0,0.24,1.78,NA
974,Dragon Quest Monsters: Joker,DS,2006.0,Role-Playing,Square Enix,0.23,0.03,1.49,0.03,1.78,JP
975,SpongeBob SquarePants: SuperSponge,PS,2001.0,Action,THQ,1.12,0.58,0.0,0.08,1.78,NA
976,The Getaway: Black Monday,PS2,2004.0,Action,Sony Computer Entertainment,0.39,1.01,0.02,0.36,1.78,EU
977,Professor Layton and the Mask of Miracle,3DS,2011.0,Puzzle,Nintendo,0.32,0.95,0.36,0.14,1.78,EU
978,Just Cause 2,PS3,2010.0,Action,Square Enix,0.45,0.94,0.06,0.33,1.78,EU
979,Dragon's Dogma,PS3,2012.0,Role-Playing,Capcom,0.41,0.46,0.72,0.19,1.78,JP
980,The Legend of Zelda: The Wind Waker,WiiU,2013.0,Action,Nintendo,0.93,0.57,0.14,0.13,1.77,NA
981,50 Cent: Bulletproof,PS2,2005.0,Action,Vivendi Games,0.85,0.76,0.0,0.16,1.77,NA
982,High School Musical: Sing It!,Wii,2007.0,Misc,Disney Interactive Studios,1.16,0.45,0.0,0.16,1.77,NA
983,Wii Party U,WiiU,2013.0,Misc,Nintendo,0.31,0.54,0.84,0.08,1.77,JP
984,Madden NFL 25,PS3,2013.0,Sports,Electronic Arts,1.59,0.03,0.0,0.15,1.77,NA
985,Final Fantasy II,SNES,1991.0,Role-Playing,Square,0.24,0.09,1.33,0.12,1.77,JP
986,Kirby 64: The Crystal Shards,N64,2000.0,Platform,Nintendo,0.63,0.06,1.03,0.04,1.77,JP
987,Dead or Alive 3,XB,2001.0,Fighting,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77,NA
988,UFC 2009 Undisputed,PS3,2009.0,Fighting,THQ,1.07,0.45,0.01,0.24,1.77,NA
989,Metroid II: Return of Samus,GB,1991.0,Adventure,Nintendo,0.85,0.31,0.56,0.04,1.76,NA
990,WWF Attitude,PS,1998.0,Fighting,Acclaim Entertainment,1.27,0.42,0.0,0.07,1.76,NA
991,The SpongeBob SquarePants Movie,PS2,2004.0,Platform,THQ,1.06,0.54,0.0,0.16,1.76,NA
992,Golden Sun,GBA,2001.0,Role-Playing,Nintendo,0.93,0.38,0.4,0.06,1.76,NA
993,Sonic the Hedgehog 3,GEN,1994.0,Platform,Sega,1.02,0.47,0.2,0.07,1.76,NA
994,Kid Icarus,NES,1986.0,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76,JP
995,Def Jam: Fight for NY,PS2,2004.0,Fighting,Electronic Arts,0.86,0.67,0.0,0.22,1.76,NA
996,Tom Clancy's Ghost Recon,XB,2002.0,Shooter,Ubisoft,1.23,0.46,0.0,0.07,1.76,NA
997,State of Emergency,PS2,2002.0,Action,Take-Two Interactive,0.86,0.67,0.0,0.22,1.76,NA
998,BioShock Infinite,PS3,2013.0,Shooter,Take-Two Interactive,0.72,0.69,0.04,0.31,1.76,NA
999,Hitman: Absolution,X360,2012.0,Action,Square Enix,0.68,0.9,0.01,0.17,1.76,EU
1000,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007.0,Action,THQ,1.26,0.47,0.0,0.03,1.76,NA
1001,Call of Duty: Black Ops 3,X360,2015.0,Shooter,Activision,1.11,0.48,0.0,0.16,1.76,NA
