game_id,title,developer,genre,year_released,platform,region
1,Wii Sports,Nintendo,Sports,2006,Wii,NA
2,Super Mario Bros.,Nintendo,Platform,1985,NES,NA
3,Mario Kart Wii,Nintendo,Racing,2008,Wii,NA
4,Wii Sports Resort,Nintendo,Sports,2009,Wii,NA
5,Pokemon Red/Pokemon Blue,Nintendo,Role-Playing,1996,GB,NA
6,Tetris,Nintendo,Puzzle,1989,GB,NA
7,New Super Mario Bros.,Nintendo,Platform,2006,DS,NA
8,Wii Play,Nintendo,Misc,2006,Wii,NA
9,New Super Mario Bros. Wii,Nintendo,Platform,2009,Wii,NA
10,Duck Hunt,Nintendo,Shooter,1984,NES,NA
11,Nintendogs,Nintendo,Simulation,2005,DS,EU
12,Mario Kart DS,Nintendo,Racing,2005,DS,NA
13,Pokemon Gold/Pokemon Silver,Nintendo,Role-Playing,1999,GB,NA
14,Wii Fit,Nintendo,Sports,2007,Wii,NA
15,Wii Fit Plus,Nintendo,Sports,2009,Wii,NA
16,Kinect Adventures!,Microsoft Game Studios,Misc,2010,X360,NA
17,Grand Theft Auto V,Take-Two Interactive,Action,2013,PS3,EU
18,Grand Theft Auto: San Andreas,Take-Two Interactive,Action,2004,PS2,OTHER
19,Super Mario World,Nintendo,Platform,1990,SNES,NA
20,Brain Age: Train Your Brain in Minutes a Day,Nintendo,Misc,2005,DS,EU
21,Pokemon Diamond/Pokemon Pearl,Nintendo,Role-Playing,2006,DS,NA
22,Super Mario Land,Nintendo,Platform,1989,GB,NA
23,Super Mario Bros. 3,Nintendo,Platform,1988,NES,NA
24,Grand Theft Auto V,Take-Two Interactive,Action,2013,X360,NA
25,Grand Theft Auto: Vice City,Take-Two Interactive,Action,2002,PS2,NA
26,Pokemon Ruby/Pokemon Sapphire,Nintendo,Role-Playing,2002,GBA,NA
27,Pokemon Black/Pokemon White,Nintendo,Role-Playing,2010,DS,JP
28,Brain Age 2: More Training in Minutes a Day,Nintendo,Puzzle,2005,DS,EU
29,Gran Turismo 3: A-Spec,Sony Computer Entertainment,Racing,2001,PS2,NA
30,Call of Duty: Modern Warfare 3,Activision,Shooter,2011,X360,NA
31,PokÃ©mon Yellow: Special Pikachu Edition,Nintendo,Role-Playing,1998,GB,NA
32,Call of Duty: Black Ops,Activision,Shooter,2010,X360,NA
33,Pokemon X/Pokemon Y,Nintendo,Role-Playing,2013,3DS,NA
34,Call of Duty: Black Ops 3,Activision,Shooter,2015,PS4,EU
35,Call of Duty: Black Ops II,Activision,Shooter,2012,PS3,EU
36,Call of Duty: Black Ops II,Activision,Shooter,2012,X360,NA
37,Call of Duty: Modern Warfare 2,Activision,Shooter,2009,X360,NA
38,Call of Duty: Modern Warfare 3,Activision,Shooter,2011,PS3,EU
39,Grand Theft Auto III,Take-Two Interactive,Action,2001,PS2,NA
40,Super Smash Bros. Brawl,Nintendo,Fighting,2008,Wii,NA
41,Call of Duty: Black Ops,Activision,Shooter,2010,PS3,NA
42,Animal Crossing: Wild World,Nintendo,Simulation,2005,DS,JP
43,Mario Kart 7,Nintendo,Racing,2011,3DS,NA
44,Halo 3,Microsoft Game Studios,Shooter,2007,X360,NA
45,Grand Theft Auto V,Take-Two Interactive,Action,2014,PS4,EU
46,Pokemon HeartGold/Pokemon SoulSilver,Nintendo,Action,2009,DS,NA
47,Super Mario 64,Nintendo,Platform,1996,N64,NA
48,Gran Turismo 4,Sony Computer Entertainment,Racing,2004,PS2,OTHER
49,Super Mario Galaxy,Nintendo,Platform,2007,Wii,NA
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo,Role-Playing,2014,3DS,NA
51,Super Mario Land 2: 6 Golden Coins,Nintendo,Adventure,1992,GB,NA
52,Grand Theft Auto IV,Take-Two Interactive,Action,2008,X360,NA
53,Gran Turismo,Sony Computer Entertainment,Racing,1997,PS,NA
54,Super Mario 3D Land,Nintendo,Platform,2011,3DS,NA
55,Gran Turismo 5,Sony Computer Entertainment,Racing,2010,PS3,EU
56,Call of Duty: Modern Warfare 2,Activision,Shooter,2009,PS3,NA
57,Grand Theft Auto IV,Take-Two Interactive,Action,2008,PS3,NA
58,Super Mario All-Stars,Nintendo,Platform,1993,SNES,NA
59,Pokemon FireRed/Pokemon LeafGreen,Nintendo,Role-Playing,2004,GBA,NA
60,Super Mario 64,Nintendo,Platform,2004,DS,NA
61,Just Dance 3,Ubisoft,Misc,2011,Wii,NA
62,Call of Duty: Ghosts,Activision,Shooter,2013,X360,NA
63,Halo: Reach,Microsoft Game Studios,Shooter,2010,X360,NA
64,Mario Kart 64,Nintendo,Racing,1996,N64,NA
65,New Super Mario Bros. 2,Nintendo,Platform,2012,3DS,NA
66,Halo 4,Microsoft Game Studios,Shooter,2012,X360,NA
67,Final Fantasy VII,Sony Computer Entertainment,Role-Playing,1997,PS,JP
68,Call of Duty: Ghosts,Activision,Shooter,2013,PS3,NA
69,Just Dance 2,Ubisoft,Misc,2010,Wii,NA
70,Gran Turismo 2,Sony Computer Entertainment,Racing,1999,PS,NA
71,Call of Duty 4: Modern Warfare,Activision,Shooter,2007,X360,NA
72,Donkey Kong Country,Nintendo,Platform,1994,SNES,NA
73,Minecraft,Microsoft Game Studios,Misc,2013,X360,NA
74,Animal Crossing: New Leaf,Nintendo,Simulation,2012,3DS,JP
75,Mario Party DS,Nintendo,Misc,2007,DS,NA
76,The Elder Scrolls V: Skyrim,Bethesda Softworks,Role-Playing,2011,X360,NA
77,Super Mario Kart,Nintendo,Racing,1992,SNES,JP
78,FIFA 16,Electronic Arts,Sports,2015,PS4,EU
79,Wii Party,Nintendo,Misc,2010,Wii,EU
80,Halo 2,Microsoft Game Studios,Shooter,2004,XB,NA
81,Mario Party 8,Nintendo,Misc,2007,Wii,NA
82,Pokemon Black 2/Pokemon White 2,Nintendo,Role-Playing,2012,DS,JP
83,FIFA Soccer 13,Electronic Arts,Action,2012,PS3,EU
84,The Sims 3,Electronic Arts,Simulation,2009,PC,EU
85,GoldenEye 007,Nintendo,Shooter,1997,N64,NA
86,Mario & Sonic at the Olympic Games,Sega,Sports,2007,Wii,EU
87,Final Fantasy X,Sony Computer Entertainment,Role-Playing,2001,PS2,NA
88,Final Fantasy VIII,SquareSoft,Role-Playing,1999,PS,JP
89,PokÃ©mon Platinum Version,Nintendo,Role-Playing,2008,DS,NA
90,Pac-Man,Atari,Puzzle,1982,2600,NA
91,Grand Theft Auto: Liberty City Stories,Take-Two Interactive,Action,2005,PSP,NA
92,Super Mario Galaxy 2,Nintendo,Platform,2010,Wii,NA
93,Star Wars Battlefront (2015),Electronic Arts,Shooter,2015,PS4,EU
94,Call of Duty: Advanced Warfare,Activision,Shooter,2014,PS4,EU
95,The Legend of Zelda: Ocarina of Time,Nintendo,Action,1998,N64,NA
96,Crash Bandicoot 2: Cortex Strikes Back,Sony Computer Entertainment,Platform,1997,PS,NA
97,Super Mario Bros. 2,Nintendo,Platform,1988,NES,NA
98,Super Smash Bros. for Wii U and 3DS,Nintendo,Fighting,2014,3DS,NA
99,Call of Duty: World at War,Activision,Shooter,2008,X360,NA
100,Battlefield 3,Electronic Arts,Shooter,2011,X360,NA
101,The Legend of Zelda: Twilight Princess,Nintendo,Action,2006,Wii,NA
102,Call of Duty: Black Ops 3,Activision,Shooter,2015,XOne,NA
103,Just Dance,Ubisoft,Misc,2009,Wii,NA
104,Battlefield 3,Electronic Arts,Shooter,2011,PS3,EU
105,Need for Speed Underground,Electronic Arts,Racing,2003,PS2,NA
106,Tekken 3,Sony Computer Entertainment,Fighting,1998,PS,NA
107,Crash Bandicoot 3: Warped,Sony Computer Entertainment,Platform,1998,PS,NA
108,Super Smash Bros. Melee,Nintendo,Fighting,2001,GC,NA
109,Mario Kart 8,Nintendo,Racing,2014,WiiU,NA
110,Fallout 4,Bethesda Softworks,Role-Playing,2015,PS4,EU
111,Mario Kart: Double Dash!!,Nintendo,Racing,2003,GC,NA
112,Just Dance 4,Ubisoft,Misc,2012,Wii,NA
113,FIFA 14,Electronic Arts,Sports,2013,PS3,EU
114,Need for Speed Underground 2,Electronic Arts,Racing,2004,PS2,EU
115,Medal of Honor: Frontline,Electronic Arts,Shooter,2002,PS2,NA
116,Uncharted 3: Drake's Deception,Sony Computer Entertainment,Action,2011,PS3,EU
117,Crash Bandicoot,Sony Computer Entertainment,Platform,1996,PS,NA
118,Zumba Fitness,505 Games,Sports,2010,Wii,NA
119,Gears of War 2,Microsoft Game Studios,Shooter,2008,X360,NA
120,Uncharted 2: Among Thieves,Sony Computer Entertainment,Action,2009,PS3,NA
121,Call of Duty 4: Modern Warfare,Activision,Shooter,2007,PS3,NA
122,FIFA 12,Electronic Arts,Sports,2011,PS3,EU
123,Big Brain Academy,Nintendo,Misc,2005,DS,EU
124,Red Dead Redemption,Take-Two Interactive,Action,2010,PS3,NA
125,FIFA 15,Electronic Arts,Sports,2014,PS4,EU
126,Donkey Kong Country Returns,Nintendo,Platform,2010,Wii,NA
127,The Elder Scrolls V: Skyrim,Bethesda Softworks,Role-Playing,2011,PS3,EU
128,The Legend of Zelda,Nintendo,Action,1986,NES,NA
129,Assassin's Creed III,Ubisoft,Action,2012,PS3,NA
130,Halo: Combat Evolved,Microsoft Game Studios,Shooter,2001,XB,NA
131,PokÃ©mon Emerald Version,Nintendo,Role-Playing,2004,GBA,NA
132,Kingdom Hearts,Sony Computer Entertainment,Role-Playing,2002,PS2,NA
133,PokÃ©mon Crystal Version,Nintendo,Role-Playing,2000,GB,NA
134,Halo 3: ODST,Microsoft Game Studios,Shooter,2009,X360,NA
135,Red Dead Redemption,Take-Two Interactive,Action,2010,X360,NA
136,Super Mario Sunshine,Nintendo,Platform,2002,GC,NA
137,Street Fighter II: The World Warrior,Capcom,Fighting,1992,SNES,JP
138,World of Warcraft,Activision,Role-Playing,2004,PC,EU
139,Driver,GT Interactive,Action,1999,PS,NA
140,Kinect Sports,Microsoft Game Studios,Sports,2010,X360,NA
141,Gears of War 3,Microsoft Game Studios,Shooter,2011,X360,NA
142,Gears of War,Microsoft Game Studios,Shooter,2006,X360,NA
143,Metal Gear Solid 2: Sons of Liberty,Konami Digital Entertainment,Action,2001,PS2,NA
144,Sonic the Hedgehog 2,Sega,Platform,1992,GEN,NA
145,Metal Gear Solid 4: Guns of the Patriots,Konami Digital Entertainment,Action,2008,PS3,NA
146,Metal Gear Solid,Konami Digital Entertainment,Action,1998,PS,NA
147,The Last of Us,Sony Computer Entertainment Europe,Action,2013,PS3,NA
148,Final Fantasy XII,Square Enix,Role-Playing,2006,PS2,JP
149,LittleBigPlanet,Sony Computer Entertainment,Platform,2008,PS3,NA
150,Dragon Quest IX: Sentinels of the Starry Skies,Nintendo,Role-Playing,2009,DS,JP
151,LEGO Star Wars: The Complete Saga,LucasArts,Action,2007,Wii,NA
152,Resident Evil 2,Virgin Interactive,Action,1998,PS,JP
153,Tekken 2,Sony Computer Entertainment,Fighting,1996,PS,NA
154,Cooking Mama,505 Games,Simulation,2006,DS,NA
155,Destiny,Activision,Shooter,2014,PS4,NA
156,Tetris,Nintendo,Puzzle,1988,NES,NA
157,Assassin's Creed II,Ubisoft,Action,2009,PS3,NA
158,Super Smash Bros.,Nintendo,Fighting,1999,N64,NA
159,Assassin's Creed,Ubisoft,Adventure,2007,X360,NA
160,Batman: Arkham City,Warner Bros. Interactive Entertainment,Action,2011,PS3,NA
161,Forza Motorsport 3,Microsoft Game Studios,Racing,2009,X360,NA
162,Monster Hunter Freedom Unite,Capcom,Role-Playing,2008,PSP,JP
163,Super Mario Advance,Nintendo,Platform,2001,GBA,NA
164,Mario Kart: Super Circuit,Nintendo,Racing,2001,GBA,NA
165,Super Mario World,Nintendo,Platform,2001,GBA,NA
166,Pokemon Stadium,Nintendo,Strategy,1999,N64,NA
167,Call of Duty: World at War,Activision,Shooter,2008,PS3,NA
168,Crash Bandicoot: The Wrath of Cortex,Universal Interactive,Platform,2001,PS2,EU
169,Minecraft,Sony Computer Entertainment,Misc,2014,PS3,EU
170,Final Fantasy XIII,Square Enix,Role-Playing,2009,PS3,JP
171,Dr. Mario,Nintendo,Puzzle,1989,GB,NA
172,Pokemon Pinball,Nintendo,Misc,1999,GB,NA
173,Assassin's Creed III,Ubisoft,Action,2012,X360,NA
174,Final Fantasy IX,SquareSoft,Role-Playing,2000,PS,JP
175,Final Fantasy X-2,Electronic Arts,Role-Playing,2003,PS2,JP
176,Donkey Kong 64,Nintendo,Platform,1999,N64,NA
177,Assassin's Creed II,Ubisoft,Action,2009,X360,NA
178,Professor Layton and the Curious Village,Nintendo,Puzzle,2007,DS,EU
179,Tomb Raider II,Eidos Interactive,Action,1997,PS,EU
180,Dragon Quest VIII: Journey of the Cursed King,Square Enix,Role-Playing,2004,PS2,JP
181,Diablo III,Activision,Role-Playing,2012,PC,NA
182,Super Mario Bros. 3,Nintendo,Platform,2003,GBA,NA
183,New Super Mario Bros. U,Nintendo,Platform,2012,WiiU,NA
184,Super Mario Land 3: Wario Land,Nintendo,Platform,1994,GB,NA
185,FIFA Soccer 13,Electronic Arts,Action,2012,X360,EU
186,The Legend of Zelda: Phantom Hourglass,Nintendo,Action,2007,DS,NA
187,Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,Platform,1995,SNES,JP
188,Tomodachi Life,Nintendo,Simulation,2013,3DS,EU
189,Mario & Sonic at the Olympic Games,Sega,Sports,2008,DS,EU
190,Medal of Honor: Rising Sun,Electronic Arts,Shooter,2003,PS2,EU
191,Kirby's Dream Land,Nintendo,Platform,1992,GB,NA
192,Fable III,Microsoft Game Studios,Role-Playing,2010,X360,NA
193,Call of Duty: Advanced Warfare,Activision,Shooter,2014,XOne,NA
194,Microsoft Flight Simulator,Microsoft Game Studios,Simulation,1996,PC,NA
195,Guitar Hero II,RedOctane,Misc,2006,PS2,NA
196,Resident Evil 5,Capcom,Action,2009,PS3,NA
197,Grand Theft Auto V,Take-Two Interactive,Action,2014,XOne,NA
198,Grand Theft Auto: Vice City Stories,Take-Two Interactive,Action,2006,PSP,EU
199,FIFA Soccer 11,Electronic Arts,Sports,2010,PS3,EU
200,Super Mario Bros.,Nintendo,Platform,1999,GB,NA
201,Resident Evil,Virgin Interactive,Action,1996,PS,NA
202,Tony Hawk's Pro Skater,Activision,Sports,1999,PS,NA
203,Super Smash Bros. for Wii U and 3DS,Nintendo,Fighting,2014,WiiU,NA
204,Warzone 2100,Eidos Interactive,Strategy,1999,PS,NA
205,Spyro the Dragon,Sony Computer Entertainment,Platform,1998,PS,NA
206,Link's Crossbow Training,Nintendo,Shooter,2007,Wii,NA
207,Guitar Hero III: Legends of Rock,Activision,Misc,2007,PS2,NA
208,Fallout 3,Bethesda Softworks,Role-Playing,2008,X360,NA
209,Uncharted: Drake's Fortune,Sony Computer Entertainment,Action,2007,PS3,NA
210,Madden NFL 06,Electronic Arts,Sports,2005,PS2,NA
211,LEGO Star Wars: The Complete Saga,LucasArts,Action,2007,DS,NA
212,Diddy Kong Racing,Nintendo,Racing,1997,N64,NA
213,Monster Hunter Freedom 3,Capcom,Role-Playing,2010,PSP,JP
214,Dr. Mario,Nintendo,Puzzle,1990,NES,NA
215,God of War III,Sony Computer Entertainment,Action,2010,PS3,NA
216,StarCraft II: Wings of Liberty,Activision,Strategy,2010,PC,NA
217,Assassin's Creed,Ubisoft,Adventure,2007,PS3,EU
218,FIFA 15,Electronic Arts,Sports,2014,PS3,EU
219,Crash Team Racing,Sony Computer Entertainment,Racing,1999,PS,NA
220,FIFA 17,Electronic Arts,Sports,2016,PS4,EU
221,Batman: Arkham City,Warner Bros. Interactive Entertainment,Action,2011,X360,NA
222,Driver 2,Atari,Action,2000,PS,NA
223,The Simpsons: Hit & Run,Vivendi Games,Racing,2003,PS2,EU
224,Tony Hawk's Pro Skater 2,Activision,Sports,2000,PS,NA
225,Animal Crossing: City Folk,Nintendo,Simulation,2008,Wii,NA
226,The Lord of the Rings: The Two Towers,Electronic Arts,Action,2002,PS2,EU
227,Forza Motorsport 4,Microsoft Game Studios,Racing,2011,X360,NA
228,Tomb Raider,Eidos Interactive,Action,1996,PS,NA
229,Guitar Hero III: Legends of Rock,Activision,Misc,2007,Wii,NA
230,The Legend of Zelda: A Link to the Past,Nintendo,Action,1991,SNES,NA
231,The Legend of Zelda: The Wind Waker,Nintendo,Action,2002,GC,NA
232,Mario & Sonic at the Olympic Winter Games,Sega,Sports,2009,Wii,EU
233,Luigi's Mansion: Dark Moon,Nintendo,Action,2013,3DS,NA
234,Splatoon,Nintendo,Shooter,2015,WiiU,NA
235,The Last of Us,Sony Computer Entertainment,Action,2014,PS4,EU
236,Guitar Hero III: Legends of Rock,Activision,Misc,2007,X360,NA
237,Madden NFL 2005,Electronic Arts,Sports,2004,PS2,NA
238,Pitfall!,Activision,Platform,1981,2600,NA
239,Madden NFL 07,Electronic Arts,Sports,2006,PS2,NA
240,Spider-Man: The Movie,Activision,Action,2002,PS2,NA
241,Dragon Quest VII: Warriors of Eden,Enix Corporation,Role-Playing,2000,PS,JP
242,Uncharted: The Nathan Drake Collection,Sony Computer Entertainment,Action,2015,PS4,NA
243,Call of Duty: Advanced Warfare,Activision,Shooter,2014,PS3,EU
244,God of War,Sony Computer Entertainment,Action,2005,PS2,NA
245,Nintendo Land,Nintendo,Misc,2012,WiiU,NA
246,Michael Jackson: The Experience,Ubisoft,Misc,2010,Wii,NA
247,Tony Hawk's Pro Skater 3,Activision,Sports,2001,PS2,NA
248,Winning Eleven: Pro Evolution Soccer 2007,Konami Digital Entertainment,Sports,2006,PS2,EU
249,The Elder Scrolls IV: Oblivion,Take-Two Interactive,Role-Playing,2006,X360,NA
250,Zelda II: The Adventure of Link,Nintendo,Adventure,1987,NES,NA
251,Need for Speed: Most Wanted,Electronic Arts,Racing,2005,PS2,NA
252,Resistance: Fall of Man,Sony Computer Entertainment,Shooter,2006,PS3,NA
253,Sonic the Hedgehog,Sega,Platform,1991,GEN,NA
254,Kingdom Hearts II,Square Enix,Role-Playing,2005,PS2,NA
255,FIFA 14,Electronic Arts,Sports,2013,X360,EU
256,Call of Duty: Advanced Warfare,Activision,Shooter,2014,X360,NA
257,Asteroids,Atari,Shooter,1980,2600,NA
258,Fable II,Microsoft Game Studios,Role-Playing,2008,X360,NA
259,Halo 5: Guardians,Microsoft Game Studios,Shooter,2015,XOne,NA
260,Super Mario 3D World,Nintendo,Platform,2013,WiiU,NA
261,Batman: Arkham Asylum,Eidos Interactive,Action,2009,PS3,NA
262,Assassin's Creed: Revelations,Ubisoft,Action,2011,PS3,EU
263,Namco Museum,Namco Bandai Games,Misc,2001,GBA,NA
264,Metal Gear Solid 3: Snake Eater,Konami Digital Entertainment,Action,2004,PS2,OTHER
265,Daxter,Sony Computer Entertainment,Platform,2006,PSP,NA
266,Warcraft II: Tides of Darkness,Activision,Strategy,1995,PC,EU
267,The Legend of Zelda: Ocarina of Time,Nintendo,Action,2011,3DS,NA
268,FIFA Soccer 06,Electronic Arts,Sports,2005,PS2,EU
269,EyeToy Play,Sony Computer Entertainment,Misc,2003,PS2,EU
270,Uncharted 4: A Thief's End,Sony Computer Entertainment,Shooter,2016,PS4,EU
271,Gran Turismo 5 Prologue,Sony Computer Entertainment,Racing,2007,PS3,EU
272,Assassin's Creed: Revelations,Ubisoft,Action,2011,X360,NA
273,Street Fighter IV,Capcom,Fighting,2009,PS3,NA
274,FIFA 12,Electronic Arts,Sports,2011,X360,EU
275,Teenage Mutant Ninja Turtles,Palcom,Action,1989,NES,NA
276,Excitebike,Nintendo,Racing,1984,NES,NA
277,Frogger,Hasbro Interactive,Action,1997,PS,NA
278,Madden NFL 2003,Electronic Arts,Sports,2002,PS2,NA
279,Watch Dogs,Ubisoft,Action,2014,PS4,EU
280,Half-Life,Vivendi Games,Shooter,1997,PC,NA
281,Super Mario World 2: Yoshi's Island,Nintendo,Platform,1995,SNES,JP
282,FIFA Soccer 07,Electronic Arts,Sports,2006,PS2,EU
283,The Legend of Zelda: Skyward Sword,Nintendo,Action,2011,Wii,NA
284,Street Fighter II Turbo,Capcom,Fighting,1992,SNES,JP
285,Carnival Games,Take-Two Interactive,Misc,2007,Wii,NA
286,Fallout 4,Bethesda Softworks,Role-Playing,2015,XOne,NA
287,World of Warcraft: The Burning Crusade,Activision,Role-Playing,2007,PC,NA
288,Fallout: New Vegas,Bethesda Softworks,Role-Playing,2010,X360,NA
289,God of War II,Sony Computer Entertainment,Action,2007,PS2,NA
290,Forza Motorsport 2,Microsoft Game Studios,Racing,2007,X360,NA
291,World Soccer Winning Eleven 9,Konami Digital Entertainment,Sports,2005,PS2,EU
292,Namco Museum Vol.3,Sony Computer Entertainment,Misc,1996,PS,NA
293,Tekken Tag Tournament,Namco Bandai Games,Fighting,2000,PS2,NA
294,Far Cry 4,Ubisoft,Shooter,2014,PS4,EU
295,Star Fox 64,Nintendo,Shooter,1997,N64,NA
296,Minecraft,Sony Computer Entertainment Europe,Misc,2014,PS4,EU
297,Golf,Nintendo,Sports,1984,NES,JP
298,Fallout 3,Bethesda Softworks,Role-Playing,2008,PS3,NA
299,Professor Layton and the Diabolical Box,Nintendo,Puzzle,2007,DS,EU
300,Left 4 Dead 2,Electronic Arts,Shooter,2009,X360,NA
301,Namco Museum: 50th Anniversary,Namco Bandai Games,Misc,2005,PS2,NA
302,EA Sports Active,Electronic Arts,Sports,2009,Wii,NA
303,Assassin's Creed: Unity,Ubisoft,Action,2014,PS4,EU
304,Donkey Kong Land,Nintendo,Platform,1994,GB,NA
305,Tony Hawk's Underground,Activision,Sports,2003,PS2,NA
306,Assassin's Creed IV: Black Flag,Ubisoft,Action,2013,PS3,EU
307,Monster Hunter 4 Ultimate,Nintendo,Role-Playing,2014,3DS,JP
308,MotorStorm,Sony Computer Entertainment,Racing,2006,PS3,EU
309,The Elder Scrolls V: Skyrim,Bethesda Softworks,Role-Playing,2011,PC,EU
310,Tekken 5,Namco Bandai Games,Fighting,2005,PS2,EU
311,Dragon Warrior III,Enix Corporation,Role-Playing,1988,NES,JP
312,Sports Champions,Sony Computer Entertainment,Sports,2010,PS3,NA
313,NBA 2K16,Take-Two Interactive,Sports,2015,PS4,NA
314,World Soccer Winning Eleven 8 International,Konami Digital Entertainment,Sports,2004,PS2,EU
315,Flash Focus: Vision Training in Minutes a Day,Nintendo,Misc,2007,DS,EU
316,Namco Museum Vol.1,Sony Computer Entertainment,Misc,1995,PS,NA
317,The Legend of Zelda: Link's Awakening,Nintendo,Action,1992,GB,NA
318,Mario & Luigi: Bowser's Inside Story,Nintendo,Role-Playing,2009,DS,NA
319,Big Brain Academy: Wii Degree,Nintendo,Misc,2007,Wii,EU
320,Nintendogs + cats,Nintendo,Simulation,2011,3DS,NA
321,Batman: Arkham Knight,Warner Bros. Interactive Entertainment,Action,2015,PS4,EU
322,Mario & Sonic at the London 2012 Olympic Games,Sega,Sports,2011,Wii,EU
323,LEGO Indiana Jones: The Original Adventures,Activision,Action,2008,X360,NA
324,Resident Evil Director's Cut,Virgin Interactive,Action,1996,PS,NA
325,Ratchet & Clank: Size Matters,Sony Computer Entertainment,Platform,2007,PSP,NA
326,Just Dance 2014,Ubisoft,Misc,2013,Wii,NA
327,The Sims: Unleashed,Electronic Arts,Simulation,2002,PC,NA
328,Super Paper Mario,Nintendo,Platform,2007,Wii,NA
329,Harry Potter and the Sorcerer's Stone,Electronic Arts,Action,2001,PS,EU
330,The Witcher 3: Wild Hunt,Namco Bandai Games,Role-Playing,2015,PS4,EU
